# Time	Frame number	X (raw)	Y (raw)
# s		m	m
0.000000000000000000e+00	0.000000000000000000e+00	7.406205534934997559e-01	3.749293088912963867e+00
3.999999910593032837e-02	1.000000000000000000e+00	7.477649450302124023e-01	4.047038078308105469e+00
7.999999821186065674e-02	2.000000000000000000e+00	7.496664524078369141e-01	4.391929149627685547e+00
1.199999973177909851e-01	3.000000000000000000e+00	7.409039735794067383e-01	4.770305633544921875e+00
1.599999964237213135e-01	4.000000000000000000e+00	7.450236082077026367e-01	5.089220046997070312e+00
2.000000029802322388e-01	5.000000000000000000e+00	7.489935755729675293e-01	5.398129463195800781e+00
2.399999946355819702e-01	6.000000000000000000e+00	7.554579973220825195e-01	5.706270694732666016e+00
2.800000011920928955e-01	7.000000000000000000e+00	7.641681432723999023e-01	5.984835624694824219e+00
3.199999928474426270e-01	8.000000000000000000e+00	7.584524154663085938e-01	6.343174457550048828e+00
3.600000143051147461e-01	9.000000000000000000e+00	7.623066902160644531e-01	6.651118278503417969e+00
4.000000059604644775e-01	1.000000000000000000e+01	7.689538002014160156e-01	6.941728591918945312e+00
4.399999976158142090e-01	1.100000000000000000e+01	7.743006348609924316e-01	7.242926120758056641e+00
4.799999892711639404e-01	1.200000000000000000e+01	7.706462144851684570e-01	7.599709987640380859e+00
5.199999809265136719e-01	1.300000000000000000e+01	7.703631520271301270e-01	7.946071624755859375e+00
5.600000023841857910e-01	1.400000000000000000e+01	7.723012566566467285e-01	8.249551773071289062e+00
6.000000238418579102e-01	1.500000000000000000e+01	7.782812118530273438e-01	8.546879768371582031e+00
6.399999856948852539e-01	1.600000000000000000e+01	7.732809185981750488e-01	8.901828765869140625e+00
6.800000071525573730e-01	1.700000000000000000e+01	7.761597633361816406e-01	9.205081939697265625e+00
7.200000286102294922e-01	1.800000000000000000e+01	7.825068235397338867e-01	9.490639686584472656e+00
7.599999904632568359e-01	1.900000000000000000e+01	7.846722602844238281e-01	9.823151588439941406e+00
8.000000119209289551e-01	2.000000000000000000e+01	7.815369367599487305e-01	1.014786720275878906e+01
8.399999737739562988e-01	2.100000000000000000e+01	7.860853075981140137e-01	1.044967555999755859e+01
8.799999952316284180e-01	2.200000000000000000e+01	7.897577285766601562e-01	1.077062129974365234e+01
9.200000166893005371e-01	2.300000000000000000e+01	7.863354086875915527e-01	1.109479618072509766e+01
9.599999785423278809e-01	2.400000000000000000e+01	8.004367351531982422e-01	1.130275058746337891e+01
1.000000000000000000e+00	2.500000000000000000e+01	7.917554378509521484e-01	1.169624614715576172e+01
1.039999961853027344e+00	2.600000000000000000e+01	7.844664454460144043e-01	1.200715065002441406e+01
1.080000042915344238e+00	2.700000000000000000e+01	7.868391275405883789e-01	1.231455802917480469e+01
1.120000004768371582e+00	2.800000000000000000e+01	7.907250523567199707e-01	1.257367324829101562e+01
1.159999966621398926e+00	2.900000000000000000e+01	7.886081337928771973e-01	1.290107154846191406e+01
1.200000047683715820e+00	3.000000000000000000e+01	7.889239192008972168e-01	1.316749286651611328e+01
1.240000009536743164e+00	3.100000000000000000e+01	7.699637413024902344e-01	1.364121723175048828e+01
1.279999971389770508e+00	3.200000000000000000e+01	7.694488763809204102e-01	1.393291282653808594e+01
1.320000052452087402e+00	3.300000000000000000e+01	7.736465930938720703e-01	1.408328819274902344e+01
1.360000014305114746e+00	3.400000000000000000e+01	7.701864242553710938e-01	1.436860466003417969e+01
1.399999976158142090e+00	3.500000000000000000e+01	7.689057588577270508e-01	1.458527183532714844e+01
1.440000057220458984e+00	3.600000000000000000e+01	7.605764865875244141e-01	1.493548107147216797e+01
1.480000019073486328e+00	3.700000000000000000e+01	7.558487653732299805e-01	1.525366401672363281e+01
1.519999980926513672e+00	3.800000000000000000e+01	7.509378194808959961e-01	1.547129154205322266e+01
1.559999942779541016e+00	3.900000000000000000e+01	7.438071370124816895e-01	1.577276039123535156e+01
1.600000023841857910e+00	4.000000000000000000e+01	7.263559699058532715e-01	1.608327293395996094e+01
1.639999985694885254e+00	4.100000000000000000e+01	7.154563069343566895e-01	1.643801307678222656e+01
1.679999947547912598e+00	4.200000000000000000e+01	7.102513909339904785e-01	1.667420005798339844e+01
1.720000028610229492e+00	4.300000000000000000e+01	6.998325586318969727e-01	1.691417503356933594e+01
1.759999990463256836e+00	4.400000000000000000e+01	6.954463124275207520e-01	1.714706230163574219e+01
1.799999952316284180e+00	4.500000000000000000e+01	6.985372304916381836e-01	1.729525184631347656e+01
1.840000033378601074e+00	4.600000000000000000e+01	6.801599264144897461e-01	1.763713836669921875e+01
1.879999995231628418e+00	4.700000000000000000e+01	6.612867116928100586e-01	1.792426490783691406e+01
1.919999957084655762e+00	4.800000000000000000e+01	6.815414428710937500e-01	1.806918334960937500e+01
